Ontario,2020-03-19,0.013954997836434445
Quebec,2020-03-19,0.017907355335207934
Newfoundland and Labrador,2020-03-19,0.011235955056179775
New Brunswick,2020-03-19,0.020872865275142316
Nova Scotia,2020-03-19,0.009210526315789473
Prince Edward Island,2020-03-19,0.02666666666666667
Yukon,2020-03-19,
Northwest Territories,2020-03-19,0.0
Nunavut,2020-03-19,0.0
British Columbia,2020-03-20,0.014421030225627927
Alberta,2020-03-20,0.009857446163178647
Saskatchewan,2020-03-20,0.013612565445026177
Manitoba,2020-03-20,0.005049005049005049
Ontario,2020-03-20,0.014465789106470069
Quebec,2020-03-20,0.016278252722801263
Newfoundland and Labrador,2020-03-20,0.013937282229965157
New Brunswick,2020-03-20,0.0171875
Nova Scotia,2020-03-20,0.009107468123861567
Prince Edward Island,2020-03-20,0.02666666666666667
Yukon,2020-03-20,
Northwest Territories,2020-03-20,0.0
Nunavut,2020-03-20,0.0
British Columbia,2020-03-21,0.020767007885585543
Alberta,2020-03-21,0.009800520381613184
Saskatchewan,2020-03-21,0.01155765694772787
Manitoba,2020-03-21,0.005179934569247546
Ontario,2020-03-21,0.014801727522575579
Quebec,2020-03-21,0.025881250731935822
Newfoundland and Labrador,2020-03-21,0.020066889632107024
New Brunswick,2020-03-21,0.019653179190751446
Nova Scotia,2020-03-21,0.010736196319018405
Prince Edward Island,2020-03-21,0.02666666666666667
Yukon,2020-03-21,0.0
Northwest Territories,2020-03-21,0.0033222591362126247
Nunavut,2020-03-21,0.0
British Columbia,2020-03-22,0.019155184097583013
Alberta,2020-03-22,0.009592947886958776
Saskatchewan,2020-03-22,0.011799410029498525
Manitoba,2020-03-22,0.004827235772357724
Ontario,2020-03-22,0.01487574378718936
Quebec,2020-03-22,0.025881250731935822
Newfoundland and Labrador,2020-03-22,0.030100334448160536
New Brunswick,2020-03-22,0.0183982683982684
Nova Scotia,2020-03-22,0.012669683257918552
Prince Edward Island,2020-03-22,0.04
Yukon,2020-03-22,0.0
Northwest Territories,2020-03-22,0.0033222591362126247
Nunavut,2020-03-22,0.0
British Columbia,2020-03-23,0.02011935208866155
Alberta,2020-03-23,0.010115266996000941
Saskatchewan,2020-03-23,0.012865497076023392
Manitoba,2020-03-23,0.004839099927413501
Ontario,2020-03-23,0.016390771637122003
Quebec,2020-03-23,0.07354491158215248
Newfoundland and Labrador,2020-03-23,0.026845637583892617
New Brunswick,2020-03-23,0.014925373134328358
Nova Scotia,2020-03-23,0.0170265780730897
Prince Edward Island,2020-03-23,0.014563106796116505
Yukon,2020-03-23,0.004807692307692308
Northwest Territories,2020-03-23,0.0027472527472527475
Nunavut,2020-03-23,0.0
British Columbia,2020-03-24,0.023455616802889184
Alberta,2020-03-24,0.010922626311935562
Saskatchewan,2020-03-24,0.01284796573875803
Manitoba,2020-03-24,0.004766227871084884
Ontario,2020-03-24,0.016932070147147753
Quebec,2020-03-24,0.06721518147435472
Newfoundland and Labrador,2020-03-24,0.03219871205151794
New Brunswick,2020-03-24,0.014274385408406027
Nova Scotia,2020-03-24,0.019310867095797046
Prince Edward Island,2020-03-24,0.014563106796116505
Yukon,2020-03-24,0.004807692307692308
Northwest Territories,2020-03-24,0.002079002079002079
Nunavut,2020-03-24,0.0
British Columbia,2020-03-25,0.023250070561670902
Alberta,2020-03-25,0.01180015771093838
Saskatchewan,2020-03-25,0.014072983145148094
Manitoba,2020-03-25,0.007383966244725738
Ontario,2020-03-25,0.01808622502628812
Quebec,2020-03-25,0.048117004455943656
Newfoundland and Labrador,2020-03-25,0.05425101214574899
New Brunswick,2020-03-25,0.015476190476190477
Nova Scotia,2020-03-25,0.022606382978723406
Prince Edward Island,2020-03-25,0.016611295681063124
Yukon,2020-03-25,0.007211538461538462
Northwest Territories,2020-03-25,0.002079002079002079
Nunavut,2020-03-25,0.0
British Columbia,2020-03-26,0.023976453469144784
Alberta,2020-03-26,0.013278688524590163
Saskatchewan,2020-03-26,0.014117996730569179
Manitoba,2020-03-26,0.006631055442991343
Ontario,2020-03-26,0.020816653322658127
Quebec,2020-03-26,0.04890276485245114
Newfoundland and Labrador,2020-03-26,0.056668970283344854
New Brunswick,2020-03-26,0.017847485127095726
Nova Scotia,2020-03-26,0.021363769388352355
Prince Edward Island,2020-03-26,0.025495750708215296
Yukon,2020-03-26,0.007211538461538462
Northwest Territories,2020-03-26,0.002079002079002079
Nunavut,2020-03-26,0.0
British Columbia,2020-03-27,0.022989599188229324
Alberta,2020-03-27,0.014182912468925814
Saskatchewan,2020-03-27,0.014130434782608696
Manitoba,2020-03-27,0.006476253736300232
Ontario,2020-03-27,0.02274861973379762
Quebec,2020-03-27,0.058825241588077774
Newfoundland and Labrador,2020-03-27,0.060570071258907364
New Brunswick,2020-03-27,0.02065167508031207
Nova Scotia,2020-03-27,0.02280790674100355
Prince Edward Island,2020-03-27,0.026066350710900472
Yukon,2020-03-27,0.004975124378109453
Northwest Territories,2020-03-27,0.001834862385321101
Nunavut,2020-03-27,0.0
British Columbia,2020-03-28,0.028031456113647893
Alberta,2020-03-28,0.014182912468925814
Saskatchewan,2020-03-28,0.01673117742539643
Manitoba,2020-03-28,0.009233876785456644
Ontario,2020-03-28,0.02166419408325334
Quebec,2020-03-28,0.05420183565864561
Newfoundland and Labrador,2020-03-28,0.06292606187729417
New Brunswick,2020-03-28,0.020302547770700636
Nova Scotia,2020-03-28,0.024515266324938712
Prince Edward Island,2020-03-28,0.026066350710900472
Yukon,2020-03-28,0.0062402496099844
Northwest Territories,2020-03-28,0.0013513513513513514
Nunavut,2020-03-28,0.0
British Columbia,2020-03-29,0.026406978133588242
Alberta,2020-03-29,0.014082590652425335
Saskatchewan,2020-03-29,0.015189299478576286
Manitoba,2020-03-29,0.009141696292534281
Ontario,2020-03-29,0.026056690127302797
Quebec,2020-03-29,0.05440196153551452
Newfoundland and Labrador,2020-03-29,0.06407214048410062
New Brunswick,2020-03-29,0.023182297154899896
Nova Scotia,2020-03-29,0.024478330658105937
Prince Edward Island,2020-03-29,0.023060796645702306
Yukon,2020-03-29,0.0058997050147492625
Northwest Territories,2020-03-29,0.0013513513513513514
Nunavut,2020-03-29,0.0
British Columbia,2020-03-30,0.027452886842632047
Alberta,2020-03-30,0.014981436046637861
Saskatchewan,2020-03-30,0.01867264191207853
Manitoba,2020-03-30,0.011530146528945472
Ontario,2020-03-30,0.03152720283855707
Quebec,2020-03-30,0.05743950431214938
Newfoundland and Labrador,2020-03-30,0.0634648370497427
New Brunswick,2020-03-30,0.02081420263238445
Nova Scotia,2020-03-30,0.023124544792425344
Prince Edward Island,2020-03-30,0.03773584905660377
Yukon,2020-03-30,0.007267441860465116
