"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Boundary Bay, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858900","1.3.1.1","1870","","","","0"
"2020-02","Canada","2016A000011124","Boundary Bay, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858900","1.3.1.1","5047","","","","0"
"2020-03","Canada","2016A000011124","Boundary Bay, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858900","1.3.1.1","5006","","","","0"
"2020-04","Canada","2016A000011124","Boundary Bay, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858900","1.3.1.1","1996","","","","0"
"2020-05","Canada","2016A000011124","Boundary Bay, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858900","1.3.1.1","4997","","","","0"
"2020-06","Canada","2016A000011124","Boundary Bay, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858900","1.3.1.1","7137","","","","0"
"2020-01","Canada","2016A000011124","Boundary Bay, British Columbia","Transborder movements","Total itinerant movements","Number","223","units","0","v32858907","1.3.2.1","25","","","","0"
"2020-02","Canada","2016A000011124","Boundary Bay, British Columbia","Transborder movements","Total itinerant movements","Number","223","units","0","v32858907","1.3.2.1","69","","","","0"
"2020-03","Canada","2016A000011124","Boundary Bay, British Columbia","Transborder movements","Total itinerant movements","Number","223","units","0","v32858907","1.3.2.1","38","","","","0"
"2020-04","Canada","2016A000011124","Boundary Bay, British Columbia","Transborder movements","Total itinerant movements","Number","223","units","0","v32858907","1.3.2.1","16","","","","0"
"2020-05","Canada","2016A000011124","Boundary Bay, British Columbia","Transborder movements","Total itinerant movements","Number","223","units","0","v32858907","1.3.2.1","21","","","","0"
"2020-06","Canada","2016A000011124","Boundary Bay, British Columbia","Transborder movements","Total itinerant movements","Number","223","units","0","v32858907","1.3.2.1","10","","","","0"
"2020-01","Canada","2016A000011124","Boundary Bay, British Columbia","Other international movements","Total itinerant movements","Number","223","units","0","v32858914","1.3.3.1","0","","","","0"
"2020-02","Canada","2016A000011124","Boundary Bay, British Columbia","Other international movements","Total itinerant movements","Number","223","units","0","v32858914","1.3.3.1","0","","","","0"
"2020-03","Canada","2016A000011124","Boundary Bay, British Columbia","Other international movements","Total itinerant movements","Number","223","units","0","v32858914","1.3.3.1","0","","","","0"
"2020-04","Canada","2016A000011124","Boundary Bay, British Columbia","Other international movements","Total itinerant movements","Number","223","units","0","v32858914","1.3.3.1","0","","","","0"
"2020-05","Canada","2016A000011124","Boundary Bay, British Columbia","Other international movements","Total itinerant movements","Number","223","units","0","v32858914","1.3.3.1","0","","","","0"
"2020-06","Canada","2016A000011124","Boundary Bay, British Columbia","Other international movements","Total itinerant movements","Number","223","units","0","v32858914","1.3.3.1","0","","","","0"
"2020-01","Canada","2016A000011124","Calgary International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858921","1.4.1.1","14382","","","","0"
"2020-02","Canada","2016A000011124","Calgary International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858921","1.4.1.1","13314","","","","0"
